mobile_number,order_id,customer_name,order_status,delivery_date,last_update
9876543210,MZ12345,Rahul Sharma,Shipped,20-11-2025,15-11-2025
9123456780,AMZ98765,Priya Patel,Out for Delivery,16-11-2025,15-11-2025
9988776655,AMZ56789,Amit Verma,Delivered,10-11-2025,10-11-2025
9876543211,AMZ11111,Sneha Kumar,Processing,25-11-2025,14-11-2025
9123456781,AMZ22222,Vikram Singh,Shipped,18-11-2025,15-11-2025
9988776656,AMZ33333,Anjali Gupta,Out for Delivery,17-11-2025,15-11-2025
9876543212,AMZ44444,Rohit Reddy,Delivered,12-11-2025,12-11-2025
9123456782,AMZ55555,Kavya Mehta,Shipped,21-11-2025,14-11-2025
9988776657,AMZ66666,Arjun Joshi,Processing,26-11-2025,13-11-2025
9876543213,AMZ77777,Meera Shah,Out for Delivery,16-11-2025,15-11-2025
9123456783,AMZ88888,Rajesh Kumar,Delivered,11-11-2025,11-11-2025
9988776658,AMZ99999,Pooja Sharma,Shipped,19-11-2025,14-11-2025
9876543214,AMZ00001,Suresh Patel,Processing,24-11-2025,13-11-2025
9123456784,AMZ00002,Neha Verma,Out for Delivery,17-11-2025,15-11-2025
9988776659,AMZ00003,Manoj Singh,Delivered,09-11-2025,09-11-2025
